date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:56	959/959	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20May%202020%2019:01:56%20GMT	https://we.graphics/robots.txt		(from )
22:01:57	6106/6106	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2014:31:31%20GMT	https://we.graphics/demo/avenir/	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/index.html	(from )
22:01:57	26853/26853	---MCZ	404	error ('OK')	text/html	date:Tue,%2026%20May%202020%2019:01:57%20GMT	https://we.graphics/demo/avenir/favicon.ico	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/favicon.ico	(from https://we.graphics/demo/avenir/)
22:01:58	26865/26865	---MCZ	404	error ('OK')	text/html	date:Tue,%2026%20May%202020%2019:01:57%20GMT	https://we.graphics/demo/avenir/images/favicon.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/favicon.png	(from https://we.graphics/demo/avenir/)
22:01:58	1484/1484	---MCZ	200	added ('OK')	text/css	etag:W/%225bab9843-5cc%22	https://we.graphics/demo/avenir/css/maximage.css	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/css/maximage.css	(from https://we.graphics/demo/avenir/)
22:01:58	2106/2106	---MCZ	200	added ('OK')	text/css	etag:W/%225bab9843-83a%22	https://we.graphics/demo/avenir/css/styles.css	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/css/styles.css	(from https://we.graphics/demo/avenir/)
22:01:58	1107/1107	---M--	200	added ('OK')	image/png	etag:%225bab9580-453%22	https://we.graphics/demo/avenir/images/icon-facebook.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-facebook.png	(from https://we.graphics/demo/avenir/)
22:01:59	1198/1198	---M--	200	added ('OK')	image/png	etag:%225bab9580-4ae%22	https://we.graphics/demo/avenir/images/icon-twitter.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-twitter.png	(from https://we.graphics/demo/avenir/)
22:01:59	1234/1234	---M--	200	added ('OK')	image/png	etag:%225bab9580-4d2%22	https://we.graphics/demo/avenir/images/icon-google.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-google.png	(from https://we.graphics/demo/avenir/)
22:01:59	1384/1384	---M--	200	added ('OK')	image/png	etag:%225bab9580-568%22	https://we.graphics/demo/avenir/images/icon-dribbble.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-dribbble.png	(from https://we.graphics/demo/avenir/)
22:01:59	1088/1088	---M--	200	added ('OK')	image/png	etag:%225bab9580-440%22	https://we.graphics/demo/avenir/images/icon-linkedin.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-linkedin.png	(from https://we.graphics/demo/avenir/)
22:02:00	1352/1352	---M--	200	added ('OK')	image/png	etag:%225bab9580-548%22	https://we.graphics/demo/avenir/images/icon-pinterest.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/icon-pinterest.png	(from https://we.graphics/demo/avenir/)
22:02:00	1838/1838	---M--	200	added ('OK')	image/png	etag:%225bab9580-72e%22	https://we.graphics/demo/avenir/images/arrow-left.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/arrow-left.png	(from https://we.graphics/demo/avenir/)
22:02:00	1802/1802	---M--	200	added ('OK')	image/png	etag:%225bab9580-70a%22	https://we.graphics/demo/avenir/images/arrow-right.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/arrow-right.png	(from https://we.graphics/demo/avenir/)
22:02:02	199046/199046	---M--	200	added ('OK')	image/png	etag:%225bab9580-30986%22	https://we.graphics/demo/avenir/images/backgrounds/gradient.png	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/backgrounds/gradient.png	(from https://we.graphics/demo/avenir/)
22:02:04	113228/113228	---M--	200	added ('OK')	image/jpeg	etag:%225bab9580-1ba4c%22	https://we.graphics/demo/avenir/images/backgrounds/bg-img-3.jpg	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/backgrounds/bg-img-3.jpg	(from https://we.graphics/demo/avenir/)
22:02:04	302239/302239	---M--	200	added ('OK')	image/jpeg	etag:%225bab9580-49c9f%22	https://we.graphics/demo/avenir/images/backgrounds/bg-img-2.jpg	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/backgrounds/bg-img-2.jpg	(from https://we.graphics/demo/avenir/)
22:02:04	525604/525604	---M--	200	added ('OK')	image/jpeg	etag:%225bab9580-80524%22	https://we.graphics/demo/avenir/images/backgrounds/bg-img-1.jpg	C:/wamp/www/awadalmurtaji/home/https___we.graphics_demo_avenir_/we.graphics/demo/avenir/images/backgrounds/bg-img-1.jpg	(from https://we.graphics/demo/avenir/)
